FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.539010,POINT (16.393578010380736 48.24736314661757),Auslaufbrunnen,539010,
TRINKBRUNNENOGD.539011,POINT (16.366980144848014 48.26390505525248),Auslaufbrunnen,539011,
TRINKBRUNNENOGD.539012,POINT (16.36838800809559 48.26040995225297),Auslaufbrunnen,539012,
TRINKBRUNNENOGD.539013,POINT (16.43006816829398 48.208004362110024),Auslaufbrunnen,539013,
TRINKBRUNNENOGD.539014,POINT (16.44764934072441 48.19528682796947),Auslaufbrunnen,539014,
TRINKBRUNNENOGD.539015,POINT (16.361280740799078 48.2168359919009),Auslaufbrunnen,539015,
TRINKBRUNNENOGD.539016,POINT (16.479625542638868 48.167526245284414),Auslaufbrunnen,539016,
TRINKBRUNNENOGD.539017,POINT (16.366982914622433 48.254208607137),Auslaufbrunnen,539017,
TRINKBRUNNENOGD.539018,POINT (16.277890038767172 48.21537199384166),Auslaufbrunnen,539018,
TRINKBRUNNENOGD.539019,POINT (16.24816481348387 48.21000706662514),Auslaufbrunnen,539019,
TRINKBRUNNENOGD.539020,POINT (16.44744166890938 48.28768708548947),Auslaufbrunnen,539020,
TRINKBRUNNENOGD.539021,POINT (16.3772199228911 48.17677603930111),Auslaufbrunnen,539021,
TRINKBRUNNENOGD.539022,POINT (16.44513793169481 48.28692290570232),Auslaufbrunnen,539022,
TRINKBRUNNENOGD.539023,POINT (16.371067107333918 48.2327497530557),Auslaufbrunnen,539023,
TRINKBRUNNENOGD.539024,POINT (16.359433074584874 48.21022059392731),Auslaufbrunnen,539024,
TRINKBRUNNENOGD.539025,POINT (16.421961083948958 48.28914036705858),Auslaufbrunnen,539025,
TRINKBRUNNENOGD.538170,POINT (16.443756493834695 48.25858205221956),Trinkbrunnen mit Tränke,538170,
TRINKBRUNNENOGD.538171,POINT (16.36626055216742 48.18137256471923),Trinkbrunnen mit Tränke,538171,
TRINKBRUNNENOGD.538172,POINT (16.365369743252018 48.18030417957473),Trinkbrunnen,538172,
TRINKBRUNNENOGD.538173,POINT (16.480631206627685 48.22024927759485),Trinkbrunnen mit Tränke,538173,
TRINKBRUNNENOGD.538174,POINT (16.33797803798725 48.207362778241134),Trinkbrunnen mit Tränke,538174,
